POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ZAG;Pedro Geromel;grêmio;5.28;1.4;são paulo;grêmio;7#8#0#0#0#0#0#2#0
MEI;Giovanni Augusto;atlético-mg;5.26;2.8;atlético-mg;cruzeiro;7#4#0#0#1#1#0#0#0
LAT;Douglas Santos;atlético-mg;5.22;-0.3;atlético-mg;cruzeiro;1#6#0#0#1#3#0#0#0
ZAG;Luccas Claro;coritiba;5.18;-1.9;internacional;coritiba;0#2#0#0#1#0#0#0#0
ZAG;Edson Silva;sãopaulo;5;0;são paulo;grêmio;0#0#0#0#0#0#0#0#0
TEC;Adilson Batista;joinville;5;0;joinville;corinthians;-#-#-#-#-#-#-#-#-
TEC;Gilson Kleina;avaí;4.97;2.4;goiás;avaí;-#-#-#-#-#-#-#-#-
LAT;Pará;flamengo;4.94;-1.3;flamengo;chapecoense;5#16#0#0#0#1#0#3#0
ZAG;Vilson;chapecoense;4.91;4.2;flamengo;chapecoense;4#12#0#0#0#0#0#0#0
MEI;Bruno Henrique;corinthians;4.87;5.2;joinville;corinthians;6#16#0#1#3#3#0#2#0
MEI;Rafael Longuine;santos;4.78;1.9;santos;ponte preta;2#2#0#0#0#0#0#0#0
ZAG;Bruno Rodrigo;cruzeiro;4.77;1.9;atlético-mg;cruzeiro;2#7#0#0#0#0#0#0#0
MEI;Lucas Otávio;santos;4.76;2.3;santos;ponte preta;2#9#0#0#0#0#0#0#0
LAT;Nino Paraíba;avaí;4.7;3.8;goiás;avaí;9#14#0#0#1#0#0#1#0
MEI;Ruy;coritiba;4.69;-0.5;internacional;coritiba;11#13#1#0#1#2#0#0#0
MEI;Thiago Galhardo;coritiba;4.65;-1.9;internacional;coritiba;8#8#0#0#0#1#1#2#0
ZAG;Paulão;internacional;4.65;-1.7;internacional;coritiba;1#14#0#1#0#1#0#0#0
LAT;Diogo Barbosa;goiás;4.64;2.1;goiás;avaí;
GOL;Vagner;avaí;4.57;3.7;goiás;avaí;0#4#0#0#0#0#0#0#0
LAT;Pará;cruzeiro;4.51;10.2;atlético-mg;cruzeiro;6#12#0#0#0#0#0#0#0
LAT;Alan Ruschel;internacional;4.5;4.7;internacional;coritiba;14#8#1#0#0#0#0#0#0
LAT;Heracles;joinville;4.42;4.1;joinville;corinthians;2#6#0#0#0#1#0#0#0
GOL;Tiago;grêmio;4.36;6.7;são paulo;grêmio;0#1#0#0#0#0#0#0#0
MEI;Maicon;grêmio;4.18;3.1;são paulo;grêmio;2#14#0#0#2#0#0#0#0
MEI;Wagner;chapecoense;4.18;6.4;flamengo;chapecoense;4#3#0#0#1#2#0#0#0
MEI;Arouca;palmeiras;4.12;1.1;figueirense;palmeiras;2#4#0#0#0#0#0#0#0
MEI;Eduardo Neto;avaí;4.04;0.6;goiás;avaí;4#9#1#0#1#1#0#0#0
GOL;Bruno;coritiba;3.98;2;internacional;coritiba;1#1#0#0#0#0#0#0#0
GOL;Alisson Becker;internacional;3.81;-1;internacional;coritiba;0#0#0#0#0#0#0#0#0
MEI;Fabinho;figueirense;3.79;0.3;figueirense;palmeiras;3#9#0#0#0#2#0#2#0
MEI;Neto Moura;sport;3.74;2.3;fluminense;sport;1#7#0#0#1#4#1#0#0
ATA;Felipe Azevedo;pontepreta;3.66;-1.9;santos;ponte preta;7#14#0#0#0#1#0#0#0
MEI;Hernani;atlético-pr;3.64;4.9;atlético-pr;vasco;5#11#0#0#0#4#0#1#0
LAT;Daniel Guedes;santos;3.6;3.4;santos;ponte preta;1#10#0#0#0#0#0#0#0
ATA;Welinton Junior;joinville;3.56;2.6;joinville;corinthians;1#1#0#0#1#0#0#0#0
ATA;Anderson Lopes;avaí;3.54;-0.3;goiás;avaí;2#9#1#0#3#1#1#4#0
LAT;Romário;avaí;3.32;6;goiás;avaí;3#9#0#0#0#0#0#0#0
MEI;Araújo;grêmio;3;0;são paulo;grêmio;
MEI;Arthur;goiás;2.94;2.7;goiás;avaí;0#2#0#0#2#0#0#0#0
ATA;Pedro Rocha;grêmio;2.86;4.8;são paulo;grêmio;1#7#1#0#2#1#0#1#0
MEI;João Paulo;coritiba;2.51;-1.1;internacional;coritiba;3#13#0#0#1#1#0#0#0
ZAG;Jéci;avaí;2.48;-1.2;goiás;avaí;3#11#0#0#1#3#0#0#0
ATA;Carlos;goiás;2.45;2.9;goiás;avaí;1#0#0#0#0#1#0#0#0
LAT;Henrique;coritiba;1.48;1.8;internacional;coritiba;0#3#0#0#1#0#0#0#0
LAT;Artur;internacional;1.47;-0.5;internacional;coritiba;0#3#0#0#0#0#0#0#0
GOL;Charles;vasco;1.39;2;atlético-pr;vasco;0#0#0#0#0#0#0#0#0
GOL;Paulo Victor;flamengo;1.16;3.7;flamengo;chapecoense;1#3#0#0#0#0#0#0#0
ZAG;Emerson;avaí;0.81;0;goiás;avaí;0#3#0#0#0#1#0#0#0
ZAG;Antônio Carlos;avaí;0.81;-6.6;goiás;avaí;4#9#0#0#1#0#0#0#0
ZAG;Bruno Alves;figueirense;0.81;2.8;figueirense;palmeiras;2#6#0#0#0#0#0#0#0
MEI;Naldo;joinville;0.81;-0.3;joinville;corinthians;1#6#0#0#0#0#0#0#0
MEI;Thiago Maia;santos;0.79;0;santos;ponte preta;
